media_id,comment_count,predicted_gender,follows,followed_by,python_faces,like_count
1286034558076375077_182413000,0,,152.0,161.0,0,7
1286037161254529541_182413000,0,,152.0,161.0,0,7
1286066748008818241_262351746,0,male,50.0,51.0,0,11
1286067014314440811_1513092566,0,male,53.0,113.0,0,10
1286071704804440420_466964671,2,male,351.0,467.0,0,39
1286084586854372392_1514362454,0,female,382.0,224.0,0,13
1286107465566290443_593156432,1,female,102.0,87.0,0,41
1286118267417425418_2310510008,0,,556.0,212.0,0,20
1286130590290125304_331677447,2,male,224.0,171.0,3,32
1286142623178290982_19914979,0,,396.0,235.0,0,5
1286150011662370158_737879600,0,male,349.0,284.0,6,73
1286153375519366703_5561477,0,male,487.0,440.0,0,16
1286155516704063834_17062899,0,female,257.0,287.0,4,29
1286163096951613061_369691203,0,male,247.0,158.0,0,46
1286164717908114770_1529571527,0,female,161.0,131.0,,12
1286166953312730796_547011370,0,female,436.0,205.0,0,36
1286172372974380739_232570501,0,male,418.0,160.0,3,27
1286181148506255158_240809095,0,female,497.0,481.0,1,23
1286193442329773858_269487523,0,female,479.0,207.0,0,16
1286199858717727577_53602312,0,,397.0,598.0,0,43
1286206161615382196_264915787,2,,259.0,281.0,0,17
1286212115573284833_54357946,3,female,984.0,705.0,0,51
1286213688873664872_2387310,1,,751.0,2997.0,0,71
1286214687050120923_509109170,0,female,135.0,142.0,0,30
1286220911304878480_410695365,1,female,201.0,528.0,0,21
1286222805864351711_291962023,0,male,291.0,621.0,1,25
1286238701328644970_35243095,0,male,220.0,237.0,0,27
1286241986877924176_47103577,3,,3117.0,12191.0,0,154
1286242505780494098_143920836,0,female,462.0,243.0,2,15
1286269089236498932_14849563,0,male,305.0,263.0,0,34
1286276338479414842_237616392,1,,270.0,8648.0,2,633
1286283379709161916_3244917016,1,,122.0,130.0,0,42
1286291775572716366_198349741,0,,195.0,172.0,0,10
1286305325616380935_2039946521,0,male,357.0,364.0,1,23
1286317882271098220_8668861,0,male,142.0,251.0,0,19
1286324448378806933_324983539,1,female,234.0,251.0,0,23
1286325123695353279_202221963,0,,357.0,585.0,1,92
1286341609423707033_2234971089,0,female,248.0,508.0,3,60
1286351134193526943_187960360,0,female,617.0,655.0,0,7
1286362928349820850_38719650,1,male,7499.0,5823.0,0,18
1286371274561944940_8398289,2,male,1278.0,1596.0,0,49
1286384589455040158_205898830,0,,520.0,6580.0,0,84
1286392102401526101_1692943449,1,,354.0,585.0,0,19
1286396071799421961_1543070483,0,female,349.0,559.0,7,64
1286396429321803059_186967791,0,,343.0,253.0,1,60
1286412036082823327_408148952,0,male,412.0,685.0,0,34
1286435090334790029_394777206,0,male,399.0,412.0,0,64
1286444689276585232_1272228557,0,female,223.0,118.0,0,31
1286448311980933072_146131388,0,female,209.0,162.0,0,15
1286455847039790461_250161207,0,female,126.0,115.0,0,37
1286465091998819121_7954976,2,male,460.0,527.0,1,48
1286474834302043861_53368733,4,female,800.0,1071.0,1,63
1286509957017972960_17028991,0,male,292.0,138.0,0,5
1286707800919193746_189166728,0,male,162.0,186.0,0,6
1286763250440358838_40713122,2,female,475.0,312.0,0,19
1286770392208050263_326351391,0,female,507.0,239.0,0,12
1286841307091840580_477340917,1,male,396.0,377.0,1,106
1286860042436143717_271312824,1,male,158.0,165.0,0,45
1286861823169195544_304011487,1,male,655.0,400.0,2,20
1286875408662575968_181366300,0,male,239.0,233.0,0,29
1286887511544950474_521027322,0,male,401.0,195.0,3,11
1286905200619210765_194673425,1,female,258.0,164.0,3,11
1286905349928307337_39560598,0,female,171.0,299.0,0,8
1286910321017929815_192549466,0,,116.0,157.0,1,14
1286912270731745838_1066870107,0,,333.0,385.0,4,35
1286912486343302497_1488779935,3,male,90.0,95.0,0,27
1287038686491595956_274392799,0,female,358.0,122.0,,49
1287043375564775911_14552512,4,female,348.0,461.0,0,51
1287201121954109330_1486200490,0,,353.0,321.0,0,64
1287493016370478778_3508260742,1,,494.0,137.0,0,21
1287652305382295067_2321799674,0,,850.0,7789.0,0,56
1287710950660915048_544281901,1,female,78.0,144.0,6,19
1287801558725166554_198762708,0,,608.0,376.0,0,28
1287811728679935715_387336674,5,male,192.0,259.0,3,53
1287843975621187401_40218718,1,male,264.0,219.0,0,19
1288275415949802838_1237303311,0,female,199.0,186.0,0,31
1288523294173258726_303875593,0,male,311.0,217.0,2,28
1289016904740782904_483156463,2,male,214.0,273.0,0,27
1289096577474091468_566327019,2,male,675.0,309.0,0,57
1289173256187699095_1681014512,4,female,552.0,145.0,0,29
1289234942840085881_562360746,1,,427.0,105.0,0,17
1289341611339651053_30828931,0,male,435.0,243.0,0,26
1289718624986999759_466964671,1,male,351.0,467.0,0,26
1289881885014624528_1566404365,4,female,276.0,205.0,0,27
1290013879409400722_232707,1,,402.0,559.0,0,36
1290458338689392853_415659672,0,female,280.0,204.0,0,14
1290496562027660635_211812552,0,female,249.0,149.0,0,22
1290520866837046107_192549466,0,,116.0,157.0,1,17
1290534575868830468_466964671,0,male,351.0,467.0,1,14
1290686147294537204_275146954,4,male,405.0,642.0,0,40
1290710399213616178_180234757,3,female,227.0,517.0,3,48
1290740440220101276_1618933444,0,male,330.0,1268.0,0,46
1291318320175646280_505177928,0,mostly_male,804.0,472.0,0,39
1291425176243679604_402346972,1,male,199.0,139.0,0,30
1291445126148857126_385871225,0,,354.0,389.0,2,82
1291581515477768594_339530811,0,,1073.0,1079.0,0,4
1291994291757844364_447102802,1,,170.0,928.0,0,76
1292047601142901814_248543384,2,male,45.0,19.0,0,14
1292058845560918959_279876900,0,female,310.0,144.0,8,27
1292091296999141188_304011487,0,male,655.0,400.0,0,14
1292201651351938625_2021975076,2,,51.0,153.0,0,7
1292583891001329517_233211193,0,female,225.0,158.0,0,6
1292931273039391590_13320808,1,male,118.0,180.0,2,20
1293349362789113753_456100760,0,male,256.0,121.0,0,64
1293407221878842891_238520795,3,male,310.0,309.0,0,17
1293716569004507115_1483520151,9,female,884.0,1100.0,0,145
1293787703150555601_393174369,6,,573.0,491.0,0,50
1294354564199649782_335323772,2,male,127.0,132.0,0,26
1295037311830276434_273720779,0,female,147.0,113.0,0,4
1295167982058462742_263331655,0,,617.0,379.0,0,17
1295721485608013164_701336413,0,female,381.0,434.0,5,42
1295766777036450481_1576507631,3,,530.0,807.0,5,36
1296472914648697711_3508260742,0,,494.0,137.0,0,31
1296660544052361271_275211933,1,,226.0,189.0,1,12
1296992369250237358_3508260742,0,,494.0,137.0,0,21
1297835405857473560_3508260742,2,,494.0,137.0,0,26
1298503744845858267_3508260742,1,,494.0,137.0,0,29
1300140491283424754_3508260742,0,,494.0,137.0,0,24
1300817656722995770_393174369,3,,573.0,491.0,0,49
1300820264372419727_1365230124,0,male,45.0,63.0,0,9
1301508908162984202_3508260742,1,,494.0,137.0,0,22
1301559373994201544_477340917,3,male,396.0,377.0,0,68
1302280962835365734_3508260742,0,,494.0,137.0,0,22
1303636384771010812_3508260742,0,,494.0,137.0,0,26
1305253135636116500_3508260742,0,,494.0,137.0,0,24
1305911075535804644_3508260742,2,,494.0,137.0,0,33
1306526339305862919_393174369,11,,573.0,491.0,3,64
1307183368362708232_3508260742,2,,494.0,137.0,0,26
1307464652909052236_176132392,0,female,414.0,10560.0,0,100
1307983495838854853_3508260742,2,,494.0,137.0,0,23
1308129476047837812_1949478734,1,,962.0,232.0,0,24
1309437586872189571_3508260742,2,,494.0,137.0,0,17
1310845455769112844_3508260742,0,,494.0,137.0,0,43
1311153091214954698_3245732047,0,,87.0,195.0,0,16
1312340850940729808_3508260742,0,,494.0,137.0,0,27
1312359898407537440_39899321,1,male,95.0,225.0,0,24
1312999171514787540_1939276728,1,female,76.0,120.0,0,45
1313803000599186481_3508260742,0,,494.0,137.0,0,22
1315228309714283822_3508260742,1,,494.0,137.0,0,15
1316622691600373767_3508260742,1,,494.0,137.0,0,29
1317287495334953432_174798375,1,,250.0,555.0,1,17
1317492287211407903_2129493709,8,,324.0,372.0,0,53
1318965472150804992_3508260742,1,,494.0,137.0,0,19
1321036479770551600_3508260742,1,,494.0,137.0,0,13
1321695087906643684_3508260742,0,,494.0,137.0,0,16
1321810129795984851_26831525,0,,296.0,186.0,0,9
1322036982939004794_20152271,3,female,224.0,280.0,0,51
1323063478780754727_321226832,1,male,337.0,185.0,1,9
1323111273453782860_2182023842,0,,235.0,233.0,0,38
1323274081244341497_3508260742,2,,494.0,137.0,0,20
1323360798756370675_2009742815,4,male,195.0,136.0,0,13
1324152558822186449_1450571290,2,female,343.0,165.0,0,23
1324752135938109914_288013642,8,,514.0,2924.0,0,145
1326031445450242080_3508260742,7,,494.0,137.0,0,20
1326969397839055385_535715058,1,,367.0,193.0,2,75
1327455427595766466_264915787,1,,259.0,281.0,0,16
1328836692409262596_3508260742,3,,494.0,137.0,0,30
1329807297547327557_3633069465,1,,19.0,64.0,2,12
1330244644059328037_1080065842,2,female,300.0,2468.0,0,28
1330330662514991427_3633069465,0,,19.0,64.0,0,6
1330504403170214645_3508260742,4,,494.0,137.0,0,19
1330704911663133729_3138052374,4,,247.0,282.0,0,31
1331397937879622707_1186656090,9,,220.0,255.0,,35
1332504405198817141_3633069465,0,,19.0,64.0,0,9
1333333324793650832_3633069465,0,,19.0,64.0,0,7
1333380888033125414_2903031333,0,male,343.0,362.0,1,60
1334227225457081253_393174369,4,,573.0,491.0,2,44
1334229449210507246_1041597159,7,,1051.0,3646.0,2,408
1334264779359240653_3633069465,0,,19.0,64.0,1,7
1334803844664612051_3508260742,0,,494.0,137.0,0,14
1336662361368510815_333006422,1,,627.0,3689.0,0,262
1337076863436449235_393174369,2,,573.0,491.0,1,50
1337097430071792076_929019832,2,female,491.0,182.0,0,16
1337200879988436916_143793271,1,female,240.0,236.0,1,34
1337542804582575252_3633069465,1,,19.0,64.0,2,11
1338369404316723138_3508260742,0,,494.0,137.0,0,20
1338495314705189050_187984622,5,female,512.0,326.0,0,16
1339628108621292143_1970646870,12,,720.0,10553.0,6,239
1339674027518416907_3936662982,0,,358.0,126.0,2,19
1340566422023949119_3508260742,2,,494.0,137.0,0,24
1340855771621331488_3633069465,1,,19.0,64.0,1,4
1341137618926296246_1970646870,2,,720.0,10553.0,0,117
1341200151771012237_466964671,0,male,351.0,467.0,0,17
1341945721587133111_47357215,2,female,313.0,296.0,5,20
1342233732689601539_221639390,0,male,3279.0,2063.0,0,61
1342289680485579858_1970646870,5,,720.0,10553.0,2,149
1342608419773176260_239426400,102,,984.0,73797.0,0,613
1342616670716280447_2070104800,0,,2707.0,3230.0,0,41
1342631366566654429_231693561,6,,5733.0,781.0,0,86
1342633937524938615_2014293382,3,,370.0,1215.0,0,32
1342641497824917679_210888927,6,female,258.0,109.0,0,12
1342656610245280905_822104631,1,male,357.0,209.0,,19
1342657544535013150_51686536,0,,375.0,396.0,0,79
1342670156966711323_203210830,2,female,143.0,621.0,,25
1342719784282090420_11891301,2,male,252.0,173.0,0,19
1342720540557084940_483770497,0,male,409.0,868.0,,0
1342740882612312431_177920642,9,,374.0,590.0,1,75
1342745371733962928_7564790,1,female,475.0,375.0,0,18
1342758930577092803_3633069465,0,,19.0,64.0,0,4
1342767179111941979_27959146,2,male,320.0,224.0,0,12
1342804028991810406_29092572,1,,282.0,85.0,0,13
1342826328587511459_429754279,2,male,581.0,549.0,0,26
1342827455739688872_621691945,21,female,448.0,614.0,1,110
1342845389316841941_1513641525,2,female,172.0,124.0,0,36
1342879611743016113_2070104800,0,,2707.0,3230.0,0,22
1342882597096949784_10719387,3,,313.0,683.0,,1
1342900169049466961_55970678,9,,760.0,72909.0,0,696
1342915496017775903_8873343,3,,279.0,859.0,0,16
1342940579835086309_2986481323,0,female,228.0,248.0,0,31
1342959657735520444_1957489260,1,,83.0,317.0,0,19
1343002846056919673_3647958107,1,male,977.0,303.0,0,23
1343050031455970959_3552703964,2,male,51.0,57.0,0,50
1343296397146909078_1970646870,1,,720.0,10553.0,0,179
1343359977780024464_218782820,1,,178.0,18577.0,0,253
1343387422897240493_339530811,0,,1073.0,1079.0,0,20
1343395554193241999_3633069465,2,,19.0,64.0,1,15
1343448521408180019_358139686,0,female,162.0,138.0,,0
1343479841323942011_283776710,3,,281.0,238.0,1,10
1343505318063356451_625679395,5,male,145.0,134.0,0,16
1343547684744842222_3230516727,1,,51.0,95.0,0,13
1343596419545802183_1092212966,2,female,1167.0,307.0,0,12
1343643382463221059_974460010,0,male,412.0,383.0,,37
1343707076593395676_330506640,3,female,1712.0,616.0,0,26
1343714832238743700_21946763,4,female,296.0,346.0,0,36
1344036610198502491_613348390,2,male,178.0,166.0,0,51
1344122278925152075_267092665,6,male,382.0,552.0,0,40
1344216628594183907_1328680138,1,female,182.0,141.0,0,8
1344260932271932738_1957721596,0,,149.0,648.0,,1
1344285000137049400_1384094384,2,male,439.0,238.0,0,20
1344332837818386230_3508260742,1,,494.0,137.0,0,17
1344400248142860156_332575247,5,male,893.0,1654.0,0,111
1344477233720704955_3633069465,1,,19.0,64.0,0,14
1344497507836741764_1970646870,2,,720.0,10553.0,0,105
1344769169794725296_1970646870,6,,720.0,10553.0,0,144
1344772421773077778_2218977652,0,male,509.0,261.0,,1
1344914001015935419_1557478388,2,male,124.0,72.0,0,6
1344934740868469216_282005809,0,,226.0,201.0,2,18
1346257837982877003_3508260742,1,,494.0,137.0,0,21
1346488594034242583_3633069465,5,,19.0,64.0,0,16
1346501227277623805_1538369755,7,,254.0,1033.0,0,178
1346584170830268999_1970646870,11,,720.0,10553.0,0,323
1346586200513572281_705054387,5,,618.0,669.0,0,19
1346924749388775984_429755180,0,female,400.0,435.0,0,11
1347249073090286955_2457150273,3,,767.0,99.0,0,19
1347851397181475870_468540172,0,female,176.0,139.0,,4
1347900566075972364_1970646870,4,,720.0,10553.0,0,191
1347979169145752814_48531024,3,female,459.0,231.0,4,22
1348428876874977038_1970646870,5,,720.0,10553.0,1,130
1349264657454302983_3508260742,1,,494.0,137.0,0,28
1349587638894243414_3138052374,2,,247.0,282.0,1,19
1349850935387884382_3633069465,2,,19.0,64.0,2,2
1349945575956721578_210100417,2,male,159.0,558.0,0,59
1350960974013849500_1970646870,1,,720.0,10553.0,0,83
1351384637632543467_1970646870,5,,720.0,10553.0,3,134
1351432407652193775_3508260742,1,,494.0,137.0,0,29
1351561815192439222_3633069465,5,,19.0,64.0,1,11
1352070431426833820_1970646870,4,,720.0,10553.0,0,254
1353196787581733064_1970646870,2,,720.0,10553.0,0,214
1353448870276852819_1970646870,4,,720.0,10553.0,1,183
1353476008002664066_1970646870,5,,720.0,10553.0,1,105
1353673117356859970_3508260742,3,,494.0,137.0,0,26
1353770860451729999_1970646870,3,,720.0,10553.0,0,216
1354880005523653578_294498285,3,female,415.0,392.0,,50
1355198910393529357_175489479,3,male,367.0,492.0,0,28
1355321413078117790_1538618247,1,female,319.0,248.0,0,10
1355543344465367754_2096878716,3,,603.0,611.0,0,71
1355714472529955338_1970646870,1,,720.0,10553.0,0,84
1355758829375512585_2645063601,1,female,351.0,242.0,0,16
1355833923867687586_3508260742,1,,494.0,137.0,0,26
1357913705156760350_2648173922,2,,598.0,96.0,1,16
1357969735237467180_3508260742,0,,494.0,137.0,0,25
1358471275093176890_1970646870,9,,720.0,10553.0,2,177
1358963085364292628_1970646870,2,,720.0,10553.0,0,113
1358973937907684876_1248201347,0,,1232.0,978.0,1,31
1359301200457975907_1405947131,3,female,190.0,299.0,1,17
1359653386794112003_339530811,0,,1073.0,1079.0,2,10
1359654669395493217_339530811,0,,1073.0,1079.0,0,8
1359655570617167715_339530811,0,,1073.0,1079.0,1,10
1359656412900641240_339530811,1,,1073.0,1079.0,1,14
1359657965162138733_339530811,0,,1073.0,1079.0,2,13
1359669106080796995_4023522302,0,male,48.0,46.0,,1
1359685683052854984_1082534266,0,female,527.0,2105.0,,0
1360145247615441814_3508260742,0,,494.0,137.0,0,29
1360778016539687653_1970646870,18,,720.0,10553.0,2,243
1360976085509215363_1139926575,2,,612.0,282.0,1,19
1361157380070793309_3633069465,2,,19.0,64.0,0,10
1361293895018968993_1507451551,5,,194.0,469.0,0,97
1361449447535635162_193187243,0,female,121.0,155.0,0,4
1362300583864543496_3508260742,0,,494.0,137.0,0,26
